time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1717861996.81126213,0.00671679,9141,0.00021543,0.00000000,0,0.00000000,8783,8819,106,0.00137165
1717861996.91139936,0.00674588,9116,0.00023101,0.00000000,0,0.00000000,8819,8884,129,0.00153272
1717861997.01298356,0.00695004,9203,0.00019363,0.00000000,0,0.00000000,8884,8922,105,0.00083176
1717861997.11445355,0.00698052,9121,0.00027884,0.00000000,0,0.00000000,8922,8923,130,0.00127818
1717861997.21463919,0.00682511,9108,0.00032758,0.00000000,0,0.00000000,8923,8907,127,0.00162043
1717861997.31618738,0.00784747,9089,0.00041816,0.00000000,0,0.00000000,8907,8865,183,0.00145941
1717861997.41704917,0.00721905,9044,0.00057650,0.00000000,0,0.00000000,8865,9002,359,0.00190502
1717861997.51730490,0.00777361,9093,0.00073695,0.00000000,0,0.00000000,9002,9113,419,0.00165876
1717861997.61816001,0.00732726,9085,0.00056700,0.00000000,0,0.00000000,9113,9307,374,0.00144005
1717861997.71900487,0.00894721,9094,0.00114403,0.00000000,0,0.00000000,9307,9619,756,0.00169712
1717861997.81983876,0.00892874,9161,0.00091767,0.00000000,0,0.00000000,9619,9809,543,0.00176730
1717861997.92135310,0.00871042,9250,0.00087681,0.00000000,0,0.00000000,9809,9923,488,0.00134374
1717861998.02156854,0.00951405,9234,0.00093404,0.00000000,0,0.00000000,9923,10082,484,0.00173973
1717861998.12315106,0.00864721,9213,0.00079945,0.00000000,0,0.00000000,10082,10220,463,0.00118076
1717861998.22395420,0.00781024,9165,0.00094707,0.00000000,0,0.00000000,10220,10488,575,0.00154149
1717861998.32417250,0.00849012,9158,0.00093069,0.00000000,0,0.00000000,10488,10734,556,0.00125077
1717861998.42507458,0.00802211,9174,0.00121189,0.00000000,0,0.00000000,10734,11009,692,0.00112103
1717861998.52659845,0.00849999,9194,0.00105987,0.00000000,0,0.00000000,11009,11190,572,0.00145161
1717861998.62676883,0.00839759,9237,0.00088516,0.00000000,0,0.00000000,11190,11422,506,0.00133476
1717861998.72828865,0.00837147,9272,0.00170783,0.00000000,0,0.00000000,11422,11657,567,0.00146583
1717861998.83056998,0.00794278,9276,0.00080131,0.00000000,0,0.00000000,10962,11354,555,0.00170698
1717861998.93071699,0.00999122,9291,0.00134420,0.00000000,0,0.00000000,11354,11509,569,0.00127162
1717861999.03221059,0.00880164,9419,0.00097253,0.00000000,0,0.00000000,11509,11910,604,0.00199484
1717861999.13309050,0.00953722,9295,0.00121352,0.00000000,0,0.00000000,11910,12113,550,0.00099902
1717861999.23328567,0.00996865,9343,0.00106250,0.00000000,0,0.00000000,12113,12419,548,0.00122730
1717861999.33481717,0.00919430,9406,0.00103140,0.00000000,0,0.00000000,12419,12670,553,0.00163262
1717861999.43700910,0.00793067,9342,0.00109227,0.00000000,0,0.00000000,12670,12886,574,0.00157250
1717861999.53726840,0.00913623,9353,0.00114496,0.00000000,0,0.00000000,12886,13093,561,0.00122341
1717861999.63877749,0.00865864,9452,0.00088810,0.00000000,0,0.00000000,13093,13295,473,0.00121881
1717861999.73961592,0.00917602,9412,0.00128675,0.00000000,0,0.00000000,13295,13505,653,0.00104893
1717861999.84047246,0.00819448,9409,0.00110174,0.00000000,0,0.00000000,13505,13766,564,0.00132746
1717861999.94198585,0.00926286,9407,0.00100100,0.00000000,0,0.00000000,13766,13942,530,0.00096968
1717862000.04285645,0.00867191,9384,0.00117484,0.00000000,0,0.00000000,13942,14274,623,0.00164125
1717862000.14377785,0.00888028,9488,0.00093780,0.00000000,0,0.00000000,14274,14455,491,0.00134221
1717862000.24461627,0.00927384,9420,0.00119131,0.00000000,0,0.00000000,14455,14691,601,0.00155034
1717862000.34547949,0.00817591,9389,0.00122437,0.00000000,0,0.00000000,14691,14869,595,0.00136162
1717862000.44636226,0.00815712,9294,0.00094127,0.00000000,0,0.00000000,14869,15103,535,0.00126477
1717862000.54793549,0.00921163,9272,0.00147641,0.00000000,0,0.00000000,15103,15523,788,0.00156252
1717862000.64875269,0.00857768,9223,0.00153497,0.00000000,0,0.00000000,15523,15830,808,0.00142114
1717862000.74968243,0.00900814,9080,0.00163929,0.00000000,0,0.00000000,15830,16094,738,0.00133427
1717862000.85184312,0.00820288,8998,0.00138948,0.00000000,0,0.00000000,15775,16092,695,0.00088140
1717862000.95207644,0.00831172,9070,0.00117387,0.00000000,0,0.00000000,16092,16491,670,0.00090386
1717862001.05356407,0.00940165,9141,0.00117452,0.00000000,0,0.00000000,16491,16823,600,0.00089038
1717862001.15513062,0.00900533,9137,0.00099950,0.00000000,0,0.00000000,16823,17142,554,0.00109410
1717862001.25527239,0.00830194,9197,0.00096002,0.00000000,0,0.00000000,17142,17386,497,0.00153516
1717862001.35680962,0.01018869,9268,0.00182168,0.00000000,0,0.00000000,17386,17649,597,0.00157950
1717862001.45834255,0.00866338,9190,0.00140117,0.00000000,0,0.00000000,17649,17948,660,0.00160418
1717862001.55852079,0.00852037,9209,0.00133308,0.00000000,0,0.00000000,17705,18032,682,0.00131888
1717862001.66005111,0.00920676,9201,0.00119340,0.00000000,0,0.00000000,18032,18366,634,0.00086556
1717862001.76167655,0.00882077,9195,0.00145698,0.00000000,0,0.00000000,18366,18668,710,0.00164629
1717862001.86178064,0.00872654,9282,0.00126298,0.00000000,0,0.00000000,18668,18850,532,0.00180424
1717862001.96331239,0.01011128,9119,0.00213311,0.00000000,0,0.00000000,18850,19400,1356,0.00146902
1717862002.06555653,0.00936394,9063,0.00160324,0.00000000,0,0.00000000,19400,19790,772,0.00175590
1717862002.16572785,0.00631962,9063,0.00076545,0.00000000,0,0.00000000,19790,19970,344,0.00101572
1717862002.26734328,0.00975046,9285,0.00163690,0.00000000,0,0.00000000,19970,20378,844,0.00096656
1717862002.36811376,0.00977954,9306,0.00169300,0.00000000,0,0.00000000,20378,20707,690,0.00091006
1717862002.46830440,0.00881374,9321,0.00126006,0.00000000,0,0.00000000,20707,21056,685,0.00149451
1717862002.56919265,0.00624797,9321,0.00113944,0.00000000,0,0.00000000,21056,21122,346,0.00093038
1717862002.67004108,0.00920495,9216,0.00183404,0.00000000,0,0.00000000,21122,21481,1149,0.00115037
1717862002.77022839,0.00874932,9155,0.00144708,0.00000000,0,0.00000000,21481,21917,804,0.00158187
1717862002.87180305,0.00979155,9214,0.00142214,0.00000000,0,0.00000000,21917,22291,700,0.00116160
1717862002.97328973,0.00935256,9225,0.00181113,0.00000000,0,0.00000000,22291,22687,877,0.00092169
1717862003.07347035,0.01095035,9257,0.00165665,0.00000000,0,0.00000000,22687,23003,713,0.00089586
1717862003.17503548,0.00849407,9289,0.00114674,0.00000000,0,0.00000000,23003,23321,574,0.00146574
1717862003.27661347,0.00828978,9354,0.00125558,0.00000000,0,0.00000000,23321,23630,597,0.00144571
1717862003.37743974,0.00898581,9356,0.00130984,0.00000000,0,0.00000000,23630,23842,539,0.00156742
1717862003.47893357,0.00984841,9090,0.00122641,0.00000000,0,0.00000000,23842,23998,483,0.00225826
1717862003.57982540,0.01075447,9169,0.00135729,0.00000000,0,0.00000000,23998,24313,580,0.00157679
1717862003.68066907,0.00939243,9159,0.00132393,0.00000000,0,0.00000000,24313,24547,577,0.00142609
1717862003.78218651,0.00796128,9158,0.00130552,0.00000000,0,0.00000000,24547,24839,642,0.00185191
1717862003.88307190,0.01018867,9185,0.00104236,0.00000000,0,0.00000000,24839,25160,516,0.00207525
1717862003.98396373,0.01055230,9132,0.00134093,0.00000000,0,0.00000000,25160,25439,559,0.00093610
1717862004.08478427,0.01015172,9152,0.00116089,0.00000000,0,0.00000000,25165,25405,487,0.00090256
1717862004.18567538,0.01030114,9215,0.00120804,0.00000000,0,0.00000000,25405,25557,457,0.00164281
1717862004.28718877,0.01053343,9204,0.00125603,0.00000000,0,0.00000000,25557,25775,482,0.00140010
1717862004.38873935,0.00996492,9205,0.00142886,0.00000000,0,0.00000000,25775,25903,457,0.00124111
1717862004.48894763,0.00873881,9179,0.00107117,0.00000000,0,0.00000000,25903,26142,500,0.00084603
